year,distance
1922,62007.37252
1923,10451.77336
1924,10105.35758
1925,4330.956479
1926,13739.20055
1927,14771.70012
1928,32335.11396
1929,47514.88728
1930,25925.13502
1931,16528.9866
1932,14083.11574
1933,1008.664146
1934,4542.049527
1935,34259.39974
1936,26348.32179
1937,43049.14118
1938,38984.44434
1939,29264.16834
1940,32366.38284
1941,19747.00685
1942,19364.18066
1943,5019.982311
1944,30577.50487
1945,53002.49552
1946,68168.22839
1947,29675.66315
1948,25482.43779
1949,17884.59645
1950,2779.361686
1951,7946.059881
1952,8989.866534
1953,5728.048785
1954,4708.4132
1955,2374.041977
1956,4739.714316
1957,25669.22173
1958,28230.54145
1959,3667.876389
1960,5022.412214
1961,19035.33967
1962,20288.04431
1963,10050.78883
1964,2551.437234
1965,5155.50545
1966,3133.078523
1967,6092.592593
1968,15515.02355
1969,25908.37716
1970,783.859144
1971,19289.20853
1972,13720.30654
1973,8497.902047
1974,689.9825445
1975,276.5480363
1976,10832.00153
1977,8212.315032
1978,5970.07758
1979,404.2977677
1980,529.2506632
1981,1253.065194
1982,2619.190332
1983,1505.920294
1984,9.400652412
1985,410.51748
1986,1371.557954
1987,3896.714684
1988,6854.73751
1989,1124.640538
1990,4589.840688
1991,15333.38657
1992,955.1890014
1993,7523.788467
1994,594.2393577
1995,3051.530635
1996,987.1462754
1997,1742.418734
1998,2440.732645
1999,3168.640209
2000,2710.527179
2001,1946.53366
2002,1201.305837
2003,5247.472706
2004,5149.419575
2005,1025.451516
2006,2518.489539
2007,6587.40121
2008,3050.882542
2009,1020.077362
2010,4663.111719
2011,6957.253607
2012,5970.285726
2013,2986.12163
2014,7617.376889
2015,7244.602939
2016,5308.080713
2017,10057.15171
2018,8424.49601
2019,3185.98853
2020,618.5104012
